Date,Open,High,Low,Close,Adj Close,Volume
2018-01-08,4.870000,4.890000,4.860000,4.880000,4.590240,10336900
2018-01-09,4.890000,4.910000,4.870000,4.900000,4.609052,8068000
2018-01-10,4.830000,4.860000,4.790000,4.850000,4.562021,16296900
2018-01-11,4.820000,4.830000,4.800000,4.820000,4.533802,9882300
2018-01-12,4.850000,4.880000,4.820000,4.870000,4.580833,7052700
2018-01-16,4.970000,4.980000,4.920000,4.960000,4.665489,12399900
2018-01-17,4.970000,5.000000,4.940000,4.950000,4.656083,10801700
2018-01-18,4.870000,4.910000,4.820000,4.840000,4.552615,16379300
2018-01-19,4.900000,4.910000,4.830000,4.840000,4.552615,12564600
2018-01-22,4.890000,4.920000,4.850000,4.900000,4.609052,16071200
2018-01-23,4.900000,4.930000,4.900000,4.920000,4.627864,6856700
2018-01-24,4.900000,4.930000,4.880000,4.910000,4.618458,12963800
2018-01-25,4.890000,4.890000,4.760000,4.800000,4.514990,23514100
2018-01-26,4.820000,4.840000,4.770000,4.810000,4.524395,21352800
2018-01-29,4.900000,4.970000,4.890000,4.960000,4.665489,35356400
2018-01-30,4.940000,4.960000,4.910000,4.960000,4.665489,11555100
2018-01-31,4.840000,4.850000,4.750000,4.810000,4.524395,26258900
2018-02-01,5.350000,5.610000,5.300000,5.400000,5.079363,68413500
2018-02-02,5.510000,5.530000,5.380000,5.400000,5.079363,33167200
2018-02-05,5.510000,5.570000,5.290000,5.320000,5.004113,38115100
2018-02-06,5.390000,5.550000,5.380000,5.510000,5.182832,54179800
2018-02-07,5.550000,5.610000,5.490000,5.510000,5.182832,25095100
2018-02-08,5.500000,5.510000,5.350000,5.360000,5.041738,26385900
2018-02-09,5.440000,5.480000,5.230000,5.400000,5.079363,27551400
2018-02-12,5.490000,5.540000,5.460000,5.510000,5.182832,18404700
2018-02-13,5.490000,5.530000,5.480000,5.510000,5.182832,13048200
2018-02-14,5.480000,5.680000,5.470000,5.650000,5.314519,23128300
2018-02-15,5.740000,5.760000,5.670000,5.730000,5.389769,18949100
2018-02-16,5.770000,5.800000,5.720000,5.760000,5.417988,19577300
2018-02-20,5.740000,5.780000,5.700000,5.730000,5.389769,14894300
2018-02-21,5.750000,5.810000,5.690000,5.690000,5.352144,17741400
2018-02-22,5.710000,5.760000,5.690000,5.710000,5.370956,13452000
2018-02-23,5.710000,5.830000,5.700000,5.800000,5.455612,16355600
2018-02-26,5.900000,5.940000,5.870000,5.930000,5.577893,11660000
2018-02-27,5.910000,5.950000,5.860000,5.870000,5.521455,17203900
